h,difference,average,average3,amount
299,4,985.600,985.333,5
300,3,985.800,985.333,5
301,3,984.800,984.333,5
302,3,985.600,985.000,5
303,4,985.600,985.333,5
304,8,984.000,984.000,5
305,3,984.400,984.667,5
306,3,985.200,985.000,5
307,7,984.400,983.667,5
308,6,983.800,982.667,5
309,3,984.800,984.333,5
310,3,985.200,985.000,5
311,8,982.000,983.000,5
312,6,982.200,983.667,5
313,6,984.000,983.333,5
314,10,982.800,981.000,5
315,9,982.800,981.000,5
316,5,984.400,983.667,5
317,8,983.000,983.000,5
318,10,980.600,982.000,5
319,7,981.400,983.000,5
320,8,982.800,982.667,5
321,12,982.000,979.667,5
322,10,982.400,980.333,5
323,7,983.600,982.333,5
324,7,981.000,982.000,5
325,11,979.600,981.333,5
326,8,980.200,981.667,5
327,7,981.000,980.000,5
328,12,981.200,978.667,5
329,11,981.800,979.333,5
330,8,981.800,980.667,5
331,9,980.000,981.333,5
332,11,979.400,981.333,5
333,11,978.600,980.000,5
334,7,980.400,979.333,5
335,12,980.800,978.333,5
336,14,980.600,977.333,5
337,7,978.400,978.000,5
338,9,979.400,980.667,5
339,11,978.200,979.667,5
340,8,976.600,977.333,5
341,6,979.200,978.000,5
342,11,980.400,978.000,5
343,13,978.800,976.333,5
344,6,976.800,976.000,5
345,9,978.200,979.333,5
346,11,977.600,979.000,5
347,6,975.800,976.333,5
348,6,977.400,977.000,5
349,10,978.400,976.333,5
350,10,976.600,974.667,5
351,5,976.000,975.667,5
352,5,975.800,976.000,5
353,7,976.000,976.667,5
354,4,974.800,974.667,5
355,3,975.200,975.000,5
356,5,975.800,975.000,5
357,5,974.800,974.000,5
358,4,975.000,975.000,5
359,6,973.600,973.000,5
